iter	Passed	Remaining
0	261	386017
1	491	362691
2	687	337993
3	911	335525
4	1083	319129
5	1253	307390
6	1434	301262
7	1638	300805
8	1867	304653
9	2063	302731
10	2306	307346
11	2540	310178
12	2769	311838
13	3004	313928
14	3213	313226
15	3405	310958
16	3607	309834
17	3805	308418
18	4018	308367
19	4262	310523
20	4486	311083
21	4719	312130
22	4921	311115
23	5140	311207
24	5361	311417
25	5576	311186
26	5766	309676
27	5967	308836
28	6181	308626
29	6449	311095
30	6648	310110
31	6833	308589
32	7025	307409
33	7220	306448
34	7426	305982
35	7639	305811
36	7839	305115
37	8052	304935
38	8238	303772
39	8451	303615
40	8650	302993
41	8872	303151
42	9079	302794
43	9280	302245
44	9461	301092
45	9654	300351
46	9856	299901
47	10033	298703
48	10207	297483
49	10400	296828
50	10602	296446
51	10809	296216
52	11007	295748
53	11213	295483
54	11399	294740
55	11593	294189
56	11780	293476
57	11961	292648
58	12201	293253
59	12401	292872
60	12603	292555
61	12812	292413
62	13050	292907
63	13247	292476
64	13441	291988
65	13642	291659
66	13860	291689
67	14053	291188
68	14258	290957
69	14450	290465
70	14635	289827
71	14839	289584
72	15040	289268
73	15232	288795
74	15421	288272
75	15611	287793
76	15816	287574
77	16011	287177
78	16229	287192
79	16427	286869
80	16630	286627
81	16822	286185
82	17021	285883
83	17218	285546
84	17419	285263
85	17611	284853
86	17798	284364
87	18022	284465
88	18213	284045
89	18406	283669
90	18605	283376
91	18797	282987
92	18989	282597
93	19180	282191
94	19370	281789
95	19552	281274
96	19739	280823
97	19932	280484
98	20119	280043
99	20301	279545
100	20481	279039
101	20656	278453
102	20833	277908
103	21024	277558
104	21242	277566
105	21439	277304
106	21613	276738
107	21775	276024
108	21949	275477
109	22135	275086
110	22325	274747
111	22509	274332
112	22691	273904
113	22891	273693
114	23090	273471
115	23283	273180
116	23523	273436
117	23707	273043
118	23900	272751
119	24099	272519
120	24309	272425
121	24504	272155
122	24682	271703
123	24864	271303
124	25059	271038
125	25234	270564
126	25421	270232
127	25616	269970
128	25805	269653
129	25983	269232
130	26183	269032
131	26386	268866
132	26571	268508
133	26766	268261
134	26963	268035
135	27157	267779
136	27344	267459
137	27535	267170
138	27716	266800
139	27888	266335
140	28086	266129
141	28302	266084
142	28514	266004
143	28707	265747
144	28886	265357
145	29089	265193
146	29278	264903
147	29471	264650
148	29663	264380
149	29831	263908
150	30052	263901
151	30258	263763
152	30455	263550
153	30636	263193
154	30837	263017
155	31025	262720
156	31225	262528
157	31402	262152
158	31587	261837
159	31782	261606
160	31971	261334
161	32183	261242
162	32409	261262
163	32626	261209
164	32840	261128
165	33034	260890
166	33222	260604
167	33411	260330
168	33607	260108
169	33791	259794
170	33986	259573
171	34203	259510
172	34408	259356
173	34626	259297
174	34848	259271
175	35035	258983
176	35245	258862
177	35424	258516
178	35631	258377
179	35826	258149
180	36013	257867
181	36220	257723
182	36423	257552
183	36622	257351
184	36811	257081
185	37008	256869
186	37214	256718
187	37416	256539
188	37597	256217
189	37805	256080
190	37996	255831
191	38177	255513
192	38395	255437
193	38587	255195
194	38793	255044
195	38982	254781
196	39185	254603
197	39383	254399
198	39586	254227
199	39785	254028
200	39974	253770
201	40175	253582
202	40350	253234
203	40593	253310
204	40806	253202
205	40987	252887
206	41194	252741
207	41376	252434
208	41558	252136
209	41744	251857
210	41939	251639
211	42115	251302
212	42292	250976
213	42488	250764
214	42688	250568
215	42887	250378
216	43085	250173
217	43266	249874
218	43492	249831
219	43678	249561
220	43871	249334
221	44052	249036
222	44249	248829
223	44446	248621
224	44646	248430
225	44852	248273
226	45037	248003
227	45236	247807
228	45435	247612
229	45617	247326
230	45793	247005
231	45976	246729
232	46202	246677
233	46384	246393
234	46556	246053
235	46757	245872
236	46939	245592
237	47140	245410
238	47338	245210
239	47529	244976
240	47715	244715
241	47912	244512
242	48096	244242
243	48294	244045
244	48487	243823
245	48655	243476
246	48831	243169
247	49017	242912
248	49211	242695
249	49398	242447
250	49571	242131
251	49752	241853
252	49951	241664
253	50138	241417
254	50334	241212
255	50526	240988
256	50713	240743
257	50888	240439
258	51068	240159
259	51249	239886
260	51440	239659
261	51671	239620
262	51861	239389
263	52067	239233
264	52261	239022
265	52436	238724
266	52634	238531
267	52809	238234
268	53004	238025
269	53190	237780
270	53365	237485
271	53561	237283
272	53736	236992
273	53933	236793
274	54119	236552
275	54297	236271
276	54491	236065
277	54679	235828
278	54880	235652
279	55087	235498
280	55291	235332
281	55489	235142
282	55695	234982
283	55874	234710
284	56065	234490
285	56251	234250
286	56445	234042
287	56657	233908
288	56843	233667
289	57024	233408
290	57274	233428
291	57469	233225
292	57665	233023
293	57869	232857
294	58062	232645
295	58239	232366
296	58429	232144
297	58614	231902
298	58802	231671
299	58993	231450
300	59175	231195
301	59409	231145
302	59610	230966
303	59800	230744
304	60021	230639
305	60259	230602
306	60436	230326
307	60629	230116
308	60818	229890
309	60995	229620
310	61176	229364
311	61357	229108
312	61554	228912
313	61732	228646
314	61916	228401
315	62096	228146
316	62278	227894
317	62478	227714
318	62672	227505
319	62895	227406
320	63111	227278
321	63326	227150
322	63528	226973
323	63736	226816
324	63931	226613
325	64133	226433
326	64325	226222
327	64496	225933
328	64692	225734
329	64856	225424
330	65035	225166
331	65213	224907
332	65393	224656
333	65547	224313
334	65722	224045
335	65920	223855
336	66148	223766
337	66349	223585
338	66553	223415
339	66766	223275
340	66967	223093
341	67159	222882
342	67335	222619
343	67568	222544
344	67767	222354
345	67951	222119
346	68124	221847
347	68321	221650
348	68547	221551
349	68726	221298
350	68917	221084
351	69105	220863
352	69296	220649
353	69489	220444
354	69670	220196
355	69868	220008
356	70071	219832
357	70292	219714
358	70488	219515
359	70686	219325
360	70854	219039
361	71038	218807
362	71281	218754
363	71492	218600
364	71702	218447
365	71885	218209
366	72065	217965
367	72243	217712
368	72469	217605
369	72660	217393
370	72845	217162
371	73062	217026
372	73246	216795
373	73431	216563
374	73641	216406
375	73894	216376
376	74069	216117
